on cpu
loading data ... from src/model/gnn/dataset/cmt-conference/cmt_conference_Ontology_Node_Embeddings.txt
src/model/gnn/dataset/cmt-conference/cmt_conference_Ontology_Edge_List.txt
src/model/gnn/dataset/cmt-conference/prog_seed_pairs.txt
src/model/gnn/dataset/cmt-conference/pos_neg_pairs.txt
done
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0015
ITER=0, #Train=5, #HeldOut=2998, #Test=3003
Test Set Loss 1.2153 | Precision 0.0054 | Recall 1.0000 | F1 0.0107 | AUC 0.6972 | trainTime 0.4123 | exSelTime 0.0000 | testTime 0.0023 | numPos -1.0000 | numNeg -1.0000
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0078
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0033
Epoch 0099 | Eval Loss 0.5412 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0059
Epoch 0099 | Eval Loss 0.5412 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0033
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0067
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0061
Epoch 0099 | Eval Loss 0.5412 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0059
Epoch 0099 | Eval Loss 0.5412 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0076
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0029
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0092
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0022
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0055
Epoch 0099 | Eval Loss 0.5412 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0036
Epoch 0099 | Eval Loss 0.6931 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0067
Epoch 0099 | Eval Loss 0.6931 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0027
Epoch 0099 | Eval Loss 0.5412 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0036
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0103
Epoch 0099 | Eval Loss 0.5412 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0020
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0063
Epoch 0099 | Eval Loss 0.6172 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0056
Epoch 0099 | Eval Loss 0.6843 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0016
ITER=1, #Train=43, #HeldOut=2960, #Test=3003
Test Set Loss 1.1057 | Precision 0.0072 | Recall 1.0000 | F1 0.0143 | AUC 0.7329 | trainTime 0.4123 | exSelTime 161.2490 | testTime 0.0024 | numPos 1.0000 | numNeg 42.0000
Epoch 0099 | Eval Loss 0.6843 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0056
Epoch 0099 | Eval Loss 0.6843 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0052
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0089
Epoch 0099 | Eval Loss 0.6755 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0033
Epoch 0099 | Eval Loss 0.6755 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0038
Epoch 0099 | Eval Loss 0.6843 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0055
Epoch 0099 | Eval Loss 0.6755 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0034
Epoch 0099 | Eval Loss 0.6755 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0033
Epoch 0099 | Eval Loss 0.6755 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0020
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0050
Epoch 0099 | Eval Loss 0.6931 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0060
Epoch 0099 | Eval Loss 0.6755 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0020
Epoch 0099 | Eval Loss 0.6931 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0057
Epoch 0099 | Eval Loss 0.6755 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0024
Epoch 0099 | Eval Loss 0.6666 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0100
Epoch 0099 | Eval Loss 0.6931 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0022
Epoch 0099 | Eval Loss 0.6755 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0026
